id,overall_rank,score,GDP_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,perceptions_of_corruption,generosity,year_id,country_id
944,147,3.4788999557495117,0.9975489974021912,1.0856947898864746,0.49410173296928406,0.5090894103050232,0.10178636759519577,0.033407486975193024,5,129
945,146,3.4665000438690186,1.0991977453231812,0.7244781851768494,0.3398677110671997,0.5386261940002441,0.08846781402826309,0.027393924072384834,6,129
946,129,4.307,0.27108,0.70905,0.48246,0.44017,0.19034,0.79588,0,74
947,119,4.395,0.34112,0.69981,0.3988,0.42692,0.20243,0.81971,1,74
948,114,4.54500007629395,0.367110550403595,1.12323594093323,0.397522568702698,0.514492034912109,0.188816204667091,0.838075160980225,2,74
949,130,4.308,0.682,1.174,0.429,0.58,0.178,0.598,3,74
950,131,4.36,0.71,1.181,0.555,0.525,0.172,0.566,4,74
951,133,4.308000087738037,0.6780909299850464,1.0981782674789429,0.49544307589530945,0.5974788665771484,0.18753035366535187,0.5698137283325195,5,74
952,126,4.42579984664917,0.6657741665840149,0.7127127051353455,0.3408975899219513,0.6009678840637207,0.17843978106975555,0.5199297666549683,6,74
953,126,4.394199848175049,1.038498044013977,0.8290084600448608,0.4908556342124939,0.5129566788673401,0.19379174709320068,0.45215505361557007,7,74
954,130,4.297,0.7419,0.38562,0.72926,0.40577,0.38331,0.05547,0,103
955,126,4.252,0.83792,0.19249,0.64035,0.32461,0.3188,0.06786,1,103
956,125,4.28599977493286,0.950612664222717,0.57061493396759,0.649546980857849,0.309410035610199,0.251666635274887,0.0540088154375553,2,103
957,128,4.34,0.853,0.592,0.643,0.375,0.215,0.038,3,103
958,119,4.519,0.886,0.666,0.752,0.346,0.164,0.043,4,103
959,117,4.672599792480469,0.8471980690956116,0.7311939001083374,0.6946576237678528,0.48549410700798035,0.17408807575702667,0.047609735280275345,5,103
